sprite_id,name,,
1289,Ebony Ent,,
1293,Hemlock Ent,,
1291,Elder Ent,,
1290,Efflorescent Ent,,
1287,Ashwood Ent,,
1294,Timeworn Ent,,
1576,Diamond Paragon,,
1577,Emerald Paragon,,
1579,Ruby Paragon,,
1580,Sapphire Paragon,,
1581,Topaz Paragon,,
1630,Blood Reaper,,
1631,Bone Reaper,,
1636,Soul Reaper,,
1635,Shadow Reaper,,
1632,Cursed Reaper,,
1633,Incursion Reaper,,
1398,Harpy Eyegouger,,
1404,Harpy Screamer,,
1402,Harpy Pillager,,
1405,Harpy Torturer,,
1399,Harpy Hag,,
1403,Harpy Queen,,
1469,Imp Hexer,,
1474,Imp Sacrificer,,
1475,Imp Shaman,,
1471,Imp Inscriber,,
1473,Imp Ritualist,,
1472,Imp Necromancer,,
1739,Siren Purifier,,
1737,Siren Coercer,,
1741,Siren Soothsayer,,
1736,Siren Beguiler,,
1735,Siren Ascendant,,
1738,Siren Oracle,,
1523,Minotaur Warrior,,
1550,Minotaur Earthshaker,,
1522,Minotaur Skullcrusher,,
1517,Minotaur Battlemaster,,
1520,Minotaur Juggernaut,,
1518,Minotaur Behemoth,,
1722,Life Shapeshifter,,
1721,Death Shapeshifter,,
1720,Chaos Shapeshifter,,
1725,Sorcery Shapeshifter,,
1724,Nature Shapeshifter,,
1723,Master Shapeshifter,,
1512,Gimp Mummy,,
1515,Scourge Mummy,,
1510,Creep Mummy,,
1511,Doom Mummy,,
1514,Nightmare Mummy,,
1513,Mummy Lord,,
2199,Necrotic Clutcher,,
2202,Vital Clutcher,,
2198,Flamegrip Clutcher,,
2197,Ethereal Clutcher,,
2201,Venomous Clutcher,,
2196,Doom Clutcher,,
1589,Volatile Phoenix,,
1587,Thunderstruck Phoenix,,
1585,Frost Phoenix,,
1586,Royal Phoenix,,
1583,Corrupted Phoenix,,
1582,Ancestral Phoenix,,
1530,Mimic,,
1269,Djinn Pyromancer,,
1265,Djinn Dreamweaver,,
1268,Djinn Illusionist,,
1266,Djinn Evoker,,
1264,Djinn Arcanomancer,,
1267,Djinn Ghula,,
1795,Troll Arsonist,,
1800,Troll Necksnapper,,
1796,Troll Berserker,,
1799,Troll Knife Juggler,,
1794,Troll Alemaster,,
1798,Troll King,,
2830,Wicked Carver,,
2829,Twisted Carver,,
2831,Demented Carver,,
2827,Carver Sadist,,
2826,Carver Heartseeker,,
2828,Carver Shadowstalker,,
1250,Dryad Raincaller,,
1248,Dryad Naturalist,,
1249,Dryad Proliferator,,
1254,Dryad Warden,,
1247,Dryad Keeper,,
1253,Dryad Vindicator,,
1622,Raven Acolyte,,
1625,Raven Defiler,,
1628,Raven Ritualist,,
1623,Raven Batmaster,,
1624,Raven Bloodmage,,
1627,Raven Lord,CASTER,STAFF
2075,Planetary Amaranth,,
2078,Stardust Amaranth,,
2074,Nexus Amaranth,,
2079,Lost Amaranth,,
2073,Enclave Amaranth,,
2072,Amaranthine,,
2121,Springtime Aspect,,
2122,Summer Aspect,,
2118,Autumn Aspect,,
2124,Winter Aspect,,
2120,Aspect of Seasons,,
2156,Crypt Bat,,
2161,Pulse Bat,,
2163,Vampire Bat,,
2159,Mutated Vampire Bat,,
2160,Mutated Pulse Bat,,
2158,Mutated Crypt Bat,,
2157,Death Bat,,
2298,Wildfire Efreet,,
2297,Volcanic Efreet,,
2295,Frostfire Efreet,,
2296,Obsidian Efreet,,
2293,Dreadful Efreet,,
2292,Ashbone Efreet,,
1458,Lich Priest,,
1459,Lich Shadowcaster,,
1453,Lich Hellcaster,,
1457,Lich Overseer,,
1452,Lich Bloodletter,,
1454,Lich King,,
2082,Firewound Angel,,
2084,Icewound Angel,,
2083,Goldblight Angel,,
2085,Imperial Angel,,
2086,Angel Soulslayer,,
2081,Doomblight Angel,,
2351,Spider Occultist,,
2349,Viper Occultist,,
2352,Raptor Occultist,,
2353,Disciple Occultist,,
2350,Zealot Occultist,,
2354,Mirage Occultist,,
2356,Delusion Occultist,,
2355,Occultist Spellbinder,,
1261,Dragon Soldier,,
1260,Dragon Sentinel,,
1256,Dragon Guardian,,
1258,Dragon Revenant,,
1257,Dragon Queen,,
1259,Dragon Scout,,
2813,Granite Golem,,
2815,Iron Golem,,
2816,Magma Golem,,
2821,Regal Golem,,
2817,Moss Golem,,
2812,Gold Golem,,
2814,Haunted Golem,,
2819,Nightmare Golem,,
2820,Pumking,,
2823,War Golem,,
1234,Twisted Devil,,
1228,Cinder Devil,,
1233,Stone Devil,,
1231,Skull Devil,,
1229,Doom Devil,,
1230,Krampus,,
2177,Brownie Mauler,,
2179,Brownie Trickster,,
2174,Brownie Captain,,
2175,Brownie Enforcer,,
2173,Brownie Brute,,
2172,Blademaster,,
2178,Shogun,,
2385,Wyvern Sonicscreecher,,
2383,Wyvern Windrider,,
2384,Wyvern Skystalker,,
2386,Wyvern Airslayer,,
2382,Wyvern Daybreaker,,
2208,Glutinous Slime,,
2210,Mercurial Slime,,
2204,Bile Slime,,
2211,Paranormal Slime,,
2207,Ectoplasmic Slime,,
2205,Blood Slime,,
1814,Unicorn Vivifier,,
1809,Unicorn Consecrator,,
1812,Unicorn Stormbringer,,
1811,Unicorn Holycaster,,
1808,Pegasus,,
1813,Unicorn Thundercracker,,
2306,Stronghold,,
2304,Necropolis,,
2299,Alcazar,,
2302,Crypt,,
2303,Mouth of Hell,,
2301,Bastion,,
2307,Pandemonium King,,
2436,Noxious Smog,,
2435,Lethal Smog,,
2433,Cancerous Smog,,
2437,Pestilent Smog,,
2438,Scourge Smog,,
2439,Smog Lord,,
2822,Treasure Golem,,
2369,Red Storm,,
2372,Raving Storm,,
2368,Thunder Storm,,
2373,Cyclone,,
2370,Hurricane,,
2367,Storm Lord,,
1572,Phase Spellblade,,
1568,Phase Knight,,
1569,Phase Marauder,,
1570,Phase Paladin,,
1567,Phase Executioner,,
1566,Phase Champion,,
1596,Pilwiz Peasant,,
2329,Delirious Ghoul,,
2331,Frenzy Ghoul,,
2333,Hysteria Ghoul,,
2335,Rapturous Ghoul,,
2334,Maniacal Ghoul,,
2346,Mite Gravedigger,,
2344,Mite Interloper,,
2348,Mite Invader,,
2345,Mite Plaguespreader,,
2343,Mite Skirmisher,,
2342,Mite Webweaver,,
2309,Chaos Guard,,
2310,Death Guard,,
2312,Pit Guard,,
2311,Infernal Guard,,
2308,Abaddon Guard,,
2313,Perdition Guard,,
2626,Goretongue Gargoyle,,
2625,Dusktail Gargoyle,,
2627,Nightwing Gargoyle,,
2623,Bloodfang Gargoyle,,
2628,Sunclaw Gargoyle,,
2624,Darkeye Gargoyle,,
2183,Fallen Carnage,,
2184,Rotten Carnage,,
2185,Shadow Carnage,,
2180,Carnage Antagonizer,,
2186,Carnage Tormenter,,
2181,Carnage Destructor,,
1593,Pilwiz Guardian,,
1597,Pilwiz Slasher,,
1590,Arcane Pilwiz,,
1592,Flamehook Pilwiz,,
1591,Darkscythe Pilwiz,,
1598,Steampowered Pilwiz,,
2139,Abyss Banshee,,
2144,Savage Banshee,,
2147,Valentine Banshee,,
2140,Anguish Banshee,,
2142,Impaler Banshee,,
2145,Styx Banshee,,
2141,Destruction Banshee,,
1605,Pit Worm Tunneler,,
1604,Spitting Pit Worm,,
1600,Pit Worm Gladiator,,
1599,Accursed Pit Worm,,
1601,Pit Worm Harbinger,,
1606,Vicious Pit Worm,,
1764,Ancient Spirit,,
1769,Frozen Spirit,,
1772,Succubus Spirit,,
1773,Willow Spirit,,
1767,Exalted Spirit,,
1765,Clairvoyant Spirit,,
1612,Pit Wraith Redeemer,,
