Name,Item Name,Source,Trait Description
Abyss Orbs,Dark Stick,Found in Treasure,"If an enemy has taken at least 2 turns, they are afflicted with a random debuff at the start and end of their turn. This trait does not stack."
Adaptive Tactics,Weapon Kit,Found in Treasure,Your creatures' attacks ignore 5% of the enemies' Defense (up to 50%) for each time a creature died in the current battle. This trait does not stack.
Adept Wizarding,Adept's Tool Bag,Found in Treasure,Your creatures can equip 1 additional Spell Gem and their spells are 30% more potent. This trait does not stack.
Alchemist's Buffer,Corruptium,Found in Treasure,This creature takes 50% less damage from spells and 50% more damage from attacks. This creature has 50% more Intelligence and 50% less Attack.
Anatidaephobia,Rubber Ducky,Found in Treasure,All creatures' attacks make a quacking sound.
Andrick's Empowerment,Andrick's Tarnished Crown,Nether Boss (King Andrick),Your creatures deal 5% more damage for each minion each of your creatures have. This trait does not stack.
Andrick's Folly,Andrick's Molding Tome,Nether Boss (King Andrick),"When your creatures gain a minion, the minion has 1 additional stack. This trait does not stack."
Andrick's Royal Decree,Andrick's Tattered Garb,Nether Boss (King Andrick),"After your creatures gain a minion, they also gain a random buff. This trait does not stack."
Anointed,Prismatic Feather,Found in Treasure,"After this creature Attacks, it gains 20% Speed."
Anti-Magic Field,Vexting Salt,Found in Treasure,Your creatures have a 35% chance to avoid debuffs. This trait does not stack.
Arcane Echo,Arcane Puzzle,Found in Treasure,"After your creatures manually Cast a spell, they Cast a random spell from the same class."
At Peace,Angelic Tears,Found in Treasure,"After your creatures are resurrected, they gain a Barrier equal to 100% of the amount of Health they resurrected with. This trait does not stack."
Aura Boost,Mathematics Textbook,Found in Treasure,Increases the effectiveness of this creature's first Stat Slot by 400%.
Bladedancing,Phobos' Shortsword,Nether Boss (Phobos),"When your creatures deal critical damage, they have a 30% chance to attack the target again. This effect can repeat multiple times in a row."
Bloodletting,Ruby Dagger,Found in Treasure,"After an enemy takes damage from Bleeding, your creatures have a 35% chance to be resurrected with 50% Health. This trait does not stack."
Bonding,Soul Stones,Found in Treasure,"After your creatures are killed, they have a 7% chance to be resurrected with 50% Health for each creature that belongs to the same class fighting on your side. This trait does not stack."
Boss Powers,Obvious Weak Spot,Found in Treasure,"At the start of battle, your creatures gain 50% Maximum Health. Your creatures take 50% more damage. This trait does not stack."
Breach,Shadow Skull,Nether Boss (Inner Darkness),"After this creature is killed or resurrected, it afflicts enemies with Bomb."
Butterfly Touch,Phobos' Crest,Nether Boss (Phobos),"When this creature takes damage, the amount of damage taken is reduced by 15% for each creature between it and the enemy on the Timeline."
Ceaseless Fighting,Ceaseless Fang,Nether Boss (Ceaseless Gladiator),"When your creatures are killed, they attack a random enemy."
Ceaseless Flame,Ceaseless Spit,Nether Boss (Ceaseless Gladiator),"When an enemy takes damage from Burning, it has a 50% chance to take this damage a second time. This effect can repeat multiple times in a row."
Ceaseless Vitality,Ceaseless Heart,Nether Boss (Ceaseless Gladiator),"At the start of this creature's turn, it recovers 20% Health and gains Shelled."
Celestial Nexus,Celestial Map,Found in Treasure,"While this creature has Barrier or Shelled, it takes damage from attacks and spells in place of your other creatures. This trait does not stack."
Chaotic Disposition,Sickly Toad's Stool,Found in Treasure,"After an enemy is afflicted with a debuff, this creature has a 10% chance to cast Debilitating Blast."
Charging Rod,Cold Iron Needle,Found in Treasure,"After your creatures manually Cast a spell, its Spell Gems have a 30% chance to gain 1 Charge. This trait does not stack."
Childhood's End,Shadow Heart,Nether Boss (Inner Darkness),"The potency of the enemies' Bomb debuffs are shared with each other, but enemies take 50% less damage from this debuff. This trait does not stack."
Chroma's Shelter,Chroma's Bent Crown,Nether Boss (Chroma),This creature is immune to damage from its own class.
Chroma's Solution,Chroma's Emblem,Nether Boss (Chroma),"While this creature has Scorned, it has 100% more Intelligence. While this creature has Silenced, it has 100% more Attack."
Chroma's Stability,Chroma's Tarnished Jewel,Nether Boss (Chroma),"While this creature has Scorned, it is immune to damage from attacks. While this creature has Silenced, it is immune to damage from spells."
Consecrated Ground,Sacred Mace,Found in Treasure,This creature and its adjacent allies are immune to damage from minions and take 35% less indirect damage. This trait does not stack.
Conspiracy Theory,Broken Thermometer,Found in Treasure,"After you defeat a Treasure Golem, your creatures gain several bonuses for the rest of the time you're in that Realm. This trait does not stack."
Controlled Chaos,Rigged Die,Found in Treasure,"When your creatures would Cast a random spell, the spell is chosen from this creature's Spell Gems."
Coward's Embrace,Crystallized Cowardice,Found in Treasure,"Your creatures have a 50% independent chance to dodge, but they can't deal critical damage. This trait does not stack."
Crown Prince Syndrome,Whacking Stick,Nether Boss (Aspects of Meraxis),"After this creature dodges or deals critical damage, it Defends or Provokes."
Cyhra's Adamance,Cyhra's Adamance,Nether Boss (Cyhra),Your creatures deal 50% more damage for each time they've been resurrected in the current battle. This trait does not stack.
Cyhra's Resilience,Cyhra's Broken Whiskers,Nether Boss (Cyhra),Your creatures take 15% less damage for each dead ally. This trait does not stack.
Cyhra's Trust,Cyhra's Severed Tail,Nether Boss (Cyhra),Your creatures deal 25% more damage for each dead ally. This trait does not stack.
Dead of Winter,Alchemical Frost,Found in Treasure,"After an enemy afflicts a debuff, it is afflicted with Frozen and Poisoned."
