battle_sprite,name,race,klass,health,attack,intelligence,defense,speed,total,sources,trait
spr_crits_battle_2066.png,Cloth Abomination,Abomination,Death,42,22,12,17,17,110,Obtain Abomination Plush and bother it,Extra Padding
spr_crits_battle_2065.png,Abomination Brute,Abomination,Death,42,22,12,17,17,110,"Path of the Damned, Titan's Wound, Torture Chamber",Flesh Rot
spr_crits_battle_2064.png,Bile Abomination,Abomination,Death,42,22,12,17,17,110,"Path of the Damned, Titan's Wound, Torture Chamber",Frailty
spr_crits_battle_2068.png,Gore Abomination,Abomination,Death,36,23,13,18,18,108,"Path of the Damned, Titan's Wound, Torture Chamber",Manipulate Fear
spr_crits_battle_2070.png,Abomination Volatile,Abomination,Death,40,23,13,18,18,112,"Path of the Damned, Titan's Wound, Torture Chamber",Quell
spr_crits_battle_2071.png,Wandering Abomination,Abomination,Death,39,22,12,17,17,107,"Path of the Damned, Titan's Wound, Torture Chamber",Sin and Sentence
spr_crits_battle_2069.png,Ritual Abomination,Abomination,Death,42,22,12,17,17,110,"Path of the Damned, Titan's Wound, Torture Chamber",Turn to Gray
spr_crits_battle_2067.png,Flesh Abomination,Abomination,Death,36,23,13,18,18,108,"Path of the Damned, Titan's Wound, Torture Chamber",Wretchedness
spr_crits_battle_1012.png,Ryetrap,Alemental,Death,31,19,19,19,19,107,Gambling Dwarf Shop,Alcoholism
spr_crits_battle_1016.png,Vulperry,Alemental,Nature,33,18,18,18,18,105,Gambling Dwarf Shop,Bob and Weave
spr_crits_battle_1011.png,Lagergoyle,Alemental,Chaos,33,18,18,18,18,105,Gambling Dwarf Shop,Drinking Game
spr_crits_battle_1019.png,Woodka,Alemental,Nature,32,17,20,20,20,109,Gambling Dwarf Shop,Drunken Brawler
spr_crits_battle_1013.png,Scotchpion,Alemental,Chaos,33,18,18,20,20,109,Gambling Dwarf Shop,Drunken Rage
spr_crits_battle_1015.png,Vermowl,Alemental,Sorcery,33,18,18,18,18,105,Gambling Dwarf Shop,False Epiphany
spr_crits_battle_1017.png,Whiskull,Alemental,Death,31,19,19,19,19,107,Gambling Dwarf Shop,Hangover
spr_crits_battle_1018.png,Winegel,Alemental,Life,34,19,19,19,19,110,Gambling Dwarf Shop,Hangover Cure
spr_crits_battle_1014.png,Spirits,Alemental,Life,34,19,19,19,19,110,Gambling Dwarf Shop,Numbed Pain
spr_crits_battle_1010.png,Grenale,Alemental,Sorcery,33,18,18,18,18,105,Gambling Dwarf Shop,Slosh
spr_crits_battle_2074.png,Nexus Amaranth,Amaranth,Life,43,15,15,25,15,113,"Eternity's End, Temple of Lies",Collective Unconscious
spr_crits_battle_2076.png,Radiant Amaranth,Amaranth,Life,39,15,15,25,15,109,"Eternity's End, Temple of Lies",Crystallization
spr_crits_battle_2078.png,Stardust Amaranth,Amaranth,Life,43,15,15,25,15,113,"Eternity's End, Temple of Lies",Exalted Detriment
spr_crits_battle_2072.png,Amaranthine,Amaranth,Life,39,15,15,25,15,109,"Eternity's End, Temple of Lies",Incandescence
spr_crits_battle_2075.png,Planetary Amaranth,Amaranth,Life,40,15,15,25,15,110,"Eternity's End, Temple of Lies",Jailbreak
spr_crits_battle_2073.png,Enclave Amaranth,Amaranth,Life,43,15,15,25,15,113,"Eternity's End, Temple of Lies",Memento Mori
spr_crits_battle_2077.png,Solar Amaranth,Amaranth,Life,40,15,15,25,15,110,Chaos Guild,Solar Flare
spr_crits_battle_2079.png,Lost Amaranth,Amaranth,Life,36,16,16,26,16,110,"Eternity's End, Temple of Lies",Soulstone Splinter
spr_crits_battle_1431.png,Amphisbaena Prospector,Amphisbaena,Life,29,17,17,17,22,102,"Eternity's End, Where the Dead Ships Dwell",Careful What You Wish For
spr_crits_battle_1432.png,Amphisbaena Vaccinator,Amphisbaena,Life,32,17,17,17,22,105,"Eternity's End, Where the Dead Ships Dwell",Grim Ailment
spr_crits_battle_1429.png,Amphisbaena Chef,Amphisbaena,Life,32,17,17,17,22,105,"Eternity's End, Where the Dead Ships Dwell",MultiCast
