Siralim Ultimate,,Version 1.0.4,,Please send any corrections and screenshots of new entries to me on Discord. EmptyPalms#9402,
Class,Family,Creature,Trait Name,Trait Description,Material Name
Death,Abomination,Abomination Brute,Flesh Rot,"After an enemy is afflicted with either Weak or Vulnerable, this creature afflicts them with whichever of these debuffs the target doesn't already have.",Brute Stitches
Death,Abomination,Abomination Volatile,Quell,"When this creature Attacks an enemy with Vulnerable, it deals 100% more damage. If this damage exceeds 35% of the target's Current Health, the target dies.",Volatile Stitches
Death,Abomination,Bile Abomination,Frailty,"When this creature Attacks an enemy with Vulnerable, it deals 100% more damage, recovers Health equal to 100% of the damage dealt, and removes this debuff.",Bile Stitches
Death,Abomination,Cloth Abomination,Extra Padding,"At the start of battle, this creature gains a Barrier that absorbs damage equal to 200% of its highest stat.",No Material Exists
Death,Abomination,Flesh Abomination,Wretchedness,Your creatures' attacks against enemy creatures with Vulnerable cannot be Dodged and have a 50% greater chance to deal Critical damage. This trait does not stack.,Flesh Stitches
Death,Abomination,Gore Abomination,Manipulate Fear,Enemy creatures with Weak have 50% less Attack and cannot deal Critical damage. This trait does not stack.,Gore Stitches
Death,Abomination,Ritual Abomination,Turn to Gray,"After this creature is Attacked, enemies are afflicted with Vulnerable.",Ritual Stitches
Death,Abomination,Wandering Abomination,Sin and Sentence,"After this creature Attacks an enemy with both Weak and Vulnerable, it has a 50% chance to kill the target.",Wandering Stitches
Rodian Master,Abomination,Mastery Trait,Master of Abominations,"If all the creatures in your party are Abominations, enemies always have Weak and Vulnerable, and take 50% more damage. This trait does not stack.",Sigil of the Abomination
Sorcery,Alemental,Grenale,Slosh,"After your creatures manually Cast a spell, a random enemy is afflicted with a random debuff. This trait does not stack.",Bottle of Grenale
Chaos,Alemental,Lagergoyle,Drinking Game,"At the start of each enemy's turn, they have a 5% chance to be killed. This trait does not stack.",Bottle of Lagergoyle
Death,Alemental,Ryetrap,Alcoholism,"After an enemy is afflicted with a debuff, they have a 10% chance to be sent to the bottom of the Timeline. This trait does not stack.",Bottle of Ryetrap
Chaos,Alemental,Scotchpion,Drunken Rage,"At the start of each enemy's turn, they have a 5% chance to attack one of their allies for each debuff they have. This trait does not stack.",Bottle of Scotchpion
Life,Alemental,Spirits,Numbed Pain,"When your creatures would take damage from an attack or spell, they have a 5% chance to take 0 damage for each debuff they have. This trait does not stack.",Bottle of Spirits
Sorcery,Alemental,Vermowl,False Epiphany,Enemies' spells cost 1 more Charge for every 2 debuffs they have. This trait does not stack.,Bottle of Vermowl
Nature,Alemental,Vulperry,Bob and Weave,Your creatures have an independent 25% chance to dodge for each buff the enemy has. This trait does not stack.,Bottle of Vulperry
Death,Alemental,Whiskull,Hangover,"At the start of each enemy's turn, this creature has a 35% chance to Cast a random Booze Spell. This trait does not stack.",Bottle of Whiskull
Life,Alemental,Winegel,Hangover Cure,"After your creatures heal an enemy, it has a 3% chance to be killed for each debuff it has. This trait does not stack.",Bottle of Winegel
Nature,Alemental,Woodka,Drunken Brawler,"After your creatures Dodge an attack, they counter-attack for 40% normal damage. This trait does not stack.",Bottle of Woodka
Rodian Master,Alemental,Mastery Trait,Master of Alementals,"At the start of battle, your Alementals gains 2 random Booze Spells for each Alemental fighting on your side. This trait does not stack.",Sigil of the Alemental
Life,Amaranth,Amaranthine,Incandescence,"At the start of battle, this creature gains Maximum Health equal to 100% of its Defense.",Amaranthine Splinters
Life,Amaranth,Enclave Amaranth,Memento Mori,"After this creature is Attacked, the enemy takes damage equal to 75% of this creature's Defense.",Enclave Splinters
Life,Amaranth,Lost Amaranth,Soulstone Splinter,"After your creatures are Attacked, they gain 20% Defense. This trait does not stack.",Unguided Splinters
Life,Amaranth,Nexus Amaranth,Collective Unconscious,"After your creatures gain Defense, they gain an equal amount of Attack. This trait does not stack.",Nexus Splinters
Life,Amaranth,Planetary Amaranth,Jailbreak,Your creatures have 40% more Defense. This trait does not stack.,Planetary Splinters
Life,Amaranth,Radiant Amaranth,Crystallization,"After this creature Casts a spell, your creatures gain 15% Defense.",Radiant Splinters
Life,Amaranth,Solar Amaranth,Solar Flare,"After this creature is Attacked while it is Defending or Provoking, it Casts Stellar Flare.",Solar Drink
Life,Amaranth,Stardust Amaranth,Exalted Detriment,Your creatures deal additional damage with attacks equal to 30% of their Defense. This trait does not stack.,Stardust Splinters
Rodian Master,Amaranth,Mastery Trait,Master of Amaranths,"At the start of battle, your Amaranths share 15% of their Defense with each other. This trait does not stack.",Sigil of the Amaranth
Life,Amphisbaena,Amphisbaena Arbitrator,Multistrike,"Your creatures Attack 1 additional time, but all their attacks deal 30% less damage. This trait does not stack.",Attorney Cord
Life,Amphisbaena,Amphisbaena Chef,Multicast,"Your creatures Cast spells 1 additional time, but their spells are 30% less potent. This trait does not stack.",Chef Cord
Life,Amphisbaena,Amphisbaena Gardener,Unrealized Potential,"After your creatures gain stats, they gain these stats an additional time, but they gain 50% fewer stats. This trait does not stack.",Horticulturist Cord
Life,Amphisbaena,Amphisbaena Inspector,Unbidden Miracle,"After your creatures are healed, they are healed an additional time, but they receive 50% less healing from all sources. This trait does not stack.",Inspector Cord
Life,Amphisbaena,Amphisbaena Prospector,Careful What You Wish For,"After your creatures gain a buff, they gain an additional random buff, but their buffs only last for 1 turn. This trait does not stack.",Prospector Cord
Life,Amphisbaena,Amphisbaena Vaccinator,Grim Ailment,"After your creatures apply a debuff, they apply an additional random debuff, but their debuffs only last for 1 turn. This trait does not stack.",Vaccinator Cord
Rodian Master,Amphisbaena,Mastery Trait,Master of Amphisbaena,"If all the creatures in your party are Amphisbaenas, their innate traits' repsective effects activate 1 additional time. This trait does not stack.",Sigil of the Amphisbaena
Life,Angel,Aegis Angel,Hand of Light,This creature's attacks deal 75% more damage and grant this creature Shelled.,Aegis Claymore
Life,Angel,Angel Soulslayer,Soul to Keep,"This creature's attacks deal 75% more damage. After this creature Attacks, it gains a copy of the target's trait.",Soulslayer Claymore
Life,Angel,Doomblight Angel,Scourge,This creature's attacks deal 75% more damage and afflict the target with Weak.,Doomblight Claymore
Life,Angel,Firewound Angel,Pyre,This creature's attacks deal 75% more damage and afflict the target with Burning.,Firewound Claymore
Life,Angel,Goldblight Angel,Stasis,This creature's attacks deal 75% more damage and afflict the target with Confused.,Goldblight Claymore
Life,Angel,Icewound Angel,Rime,This creature's attacks deal 75% more damage and afflict the target with Frozen.,Icewound Claymore
Life,Angel,Imperial Angel,Black Hole Halo,This creature's attacks deal 75% more damage and afflict the target with Scorned.,Imperial Claymore
Life,Angel,Thunderwound Angel,Storm of the Century,"After this creature Attacks, it Casts Lightning Storm.",Thunderwound Claymore
Nether Boss,Angel,Judgement and Mercy,Final Act of Hatred,"When one of your creatures dies, each of their non-Ethereal Spell Gems has a 20% chance to be Cast.",Claymore of Hatred
Nether Boss,Angel,Judgement and Mercy,Final Act of Judgement,"At the start of this creature's turn, it deals damage to enemies equal to 1% of their Current Health for every 0.5% of Health this creature is missing.
The damage cannot exceed 35% of each creatures' Current Health.",Claymore of Judgment
Nether Boss,Angel,Judgement and Mercy,Final Act of Mercy,"At the start of this creature's turn, it kills all enemies that are below 25% Health.",Claymore of Mercy
Rodian Master,Angel,Mastery Trait,Master of Angels,Your Angels' attacks apply all the debuffs that your other Angels' innate traits apply as well.,Sigil of the Angel
Sorcery,Animation,Brain Animation,Red Tether,"After an adjacent ally Attacks, this creature Attacks the enemy as well. This trait does not work with creatures that also have this trait.",Red Shackle
Sorcery,Animation,Ear Animation,Green Tether,"After an adjacent ally heals a creature, this creature is healed for the same amount and gains a Barrier that absorbs damage equal to 100% of the amount healed.
This trait does not work with creatures that also have this trait.",Green Shackle
